category;category_count
"(41)";"LegalReferences";49;4;11153;2;1
"(46)";"LegalReferences";50;4;11153;2;1
"(5)";"LegalReferences";51;4;11153;41;1
"(5)(A)";"LegalReferences";52;4;11153;2;1
"(5)(B)";"LegalReferences";53;4;11153;1;1
"(51)";"LegalReferences";54;4;11153;1;1
"(53)(A)";"LegalReferences";55;4;11153;1;1
"(6)";"LegalReferences";56;4;11153;35;1
"(6)(B)";"LegalReferences";57;4;11153;2;1
"(68)";"LegalReferences";58;4;11153;2;1
"(7)";"LegalReferences";59;4;11153;21;1
"(7))";"LegalReferences";60;4;11153;1;1
"(8)";"LegalReferences";61;4;11153;15;1
"(8)(A)";"LegalReferences";62;4;11153;1;1
"(9)";"LegalReferences";63;4;11153;11;1
"(9)(A)";"LegalReferences";64;4;11153;1;1
"(A)";"LegalReferences";65;4;11153;374;1
"(A)(ii)";"LegalReferences";66;4;11153;1;1
"(A))";"LegalReferences";67;4;11153;2;1
"(ARM)";"EconomicOperands";68;2;73007;1;1
"(B)";"LegalReferences";69;4;11153;192;1
"(B))";"LegalReferences";70;4;11153;3;1
"(C)";"LegalReferences";71;4;11153;80;1
"(C))";"LegalReferences";72;4;11153;1;1
"(CRM)";"EconomicOperands";73;2;73007;1;1
"(D)";"LegalReferences";74;4;11153;54;1
"(E)";"LegalReferences";75;4;11153;22;1
"(F)";"LegalReferences";76;4;11153;11;1
"(G))";"LegalReferences";78;4;11153;1;1
"(H)";"LegalReferences";79;4;11153;8;1
"(H))";"LegalReferences";80;4;11153;1;1
"(II)";"LegalReferences";82;4;11153;18;1
"(II)))";"LegalReferences";83;4;11153;1;1
"(III)";"LegalReferences";84;4;11153;7;1
"(IV)";"LegalReferences";85;4;11153;8;1
"(J)";"LegalReferences";86;4;11153;3;1
"(K)";"LegalReferences";87;4;11153;3;1
"(L)";"LegalReferences";88;4;11153;1;1
"(Public";"EconomicOperands";89;2;73007;18;1
"(V)";"LegalReferences";90;4;11153;2;1
"(VI)";"LegalReferences";91;4;11153;2;1
"(VIII)";"LegalReferences";92;4;11153;3;1
"(X)";"LegalReferences";93;4;11153;2;1
"(XII)";"LegalReferences";94;4;11153;1;1
"(a)(1)";"LegalReferences";96;4;11153;37;1
"(a)(1))";"LegalReferences";97;4;11153;1;1
"(a)(11)";"LegalReferences";98;4;11153;3;1
"(a)(2)";"LegalReferences";99;4;11153;10;1
"(a)(2))";"LegalReferences";100;4;11153;1;1
"(a)(3)";"LegalReferences";101;4;11153;2;1
"(a)(4)";"LegalReferences";102;4;11153;7;1
"(a)(6)";"LegalReferences";103;4;11153;1;1
"(a)(6))";"LegalReferences";104;4;11153;1;1
"(a)(7)";"LegalReferences";105;4;11153;4;1
"(a)(8)";"LegalReferences";106;4;11153;3;1
"(a))";"LegalReferences";107;4;11153;4;1
"(aa)";"LegalReferences";108;4;11153;1;1
"(after";"LogicalConnectors";109;5;24677;2;1
"(also";"LogicalConnectors";110;5;24677;1;1
"(and";"LogicalConnectors";111;5;24677;20;1
"(at";"FunctionWords";113;3;119649;1;1
"(b)";"LegalReferences";114;4;11153;221;1
"(b)(1)";"LegalReferences";115;4;11153;13;1
"(b)(2)";"LegalReferences";116;4;11153;24;1
"(b)(2))";"LegalReferences";117;4;11153;3;1
"(b)(3)";"LegalReferences";118;4;11153;7;1
"(b)(4)";"LegalReferences";119;4;11153;6;1
"(b)(6)";"LegalReferences";120;4;11153;1;1
"(b)(9)";"LegalReferences";121;4;11153;1;1
"(b))";"LegalReferences";122;4;11153;2;1
"(bb)";"LegalReferences";123;4;11153;1;1
"(before";"LogicalConnectors";124;5;24677;3;1
"(but";"LogicalConnectors";125;5;24677;5;1
"(by";"FunctionWords";126;3;119649;2;1
"(c)";"LegalReferences";127;4;11153;76;1
"(c)(1)";"LegalReferences";128;4;11153;9;1
"(c)(2)";"LegalReferences";129;4;11153;7;1
"(c)(4)";"LegalReferences";130;4;11153;1;1
"(c)(7)";"LegalReferences";131;4;11153;1;1
"(c)(8)";"LegalReferences";132;4;11153;1;1
"(c)(9)(C)";"LegalReferences";133;4;11153;1;1
"(c))";"LegalReferences";134;4;11153;1;1
"(cc)";"LegalReferences";135;4;11153;2;1
"(d)";"LegalReferences";136;4;11153;53;1
"(d)(1)";"LegalReferences";137;4;11153;9;1
"(d)(2)";"LegalReferences";138;4;11153;4;1
"(d)(3)";"LegalReferences";139;4;11153;1;1
"(d)(4)";"LegalReferences";140;4;11153;3;1
"(d)(5)";"LegalReferences";141;4;11153;1;1
"(described";"Other";142;6;7328;2;1
"(e)";"LegalReferences";143;4;11153;46;1
"(e)(1)";"LegalReferences";144;4;11153;2;1
"(e)(2)";"LegalReferences";145;4;11153;4;1
"(e)(5)";"LegalReferences";146;4;11153;1;1
"(e)(7)";"LegalReferences";147;4;11153;1;1
"(e))";"LegalReferences";148;4;11153;2;1
"(especially";"LogicalConnectors";149;5;24677;1;1
"(except";"FunctionWords";150;3;119649;15;1
"(excluding";"FunctionWords";151;3;119649;1;1
"(f)";"LegalReferences";152;4;11153;31;1
"(f)(1)";"LegalReferences";153;4;11153;3;1
"(f)(2)";"LegalReferences";154;4;11153;3;1
"(g)(1)";"LegalReferences";156;4;11153;4;1
"(g)(1))";"LegalReferences";157;4;11153;1;1
"(g)(2)";"LegalReferences";158;4;11153;2;1
"(g)(3)";"LegalReferences";159;4;11153;1;1
"(g)(4)";"LegalReferences";160;4;11153;1;1
"(h)";"LegalReferences";161;4;11153;12;1
"(h)(1)";"LegalReferences";162;4;11153;3;1
"(h)(2)";"LegalReferences";163;4;11153;3;1
"(h)(4)";"LegalReferences";164;4;11153;3;1
"(h)(5)";"LegalReferences";165;4;11153;1;1
"(h)(6)";"LegalReferences";166;4;11153;1;1
"(h)(7))";"LegalReferences";167;4;11153;1;1
"(h)(8)";"LegalReferences";168;4;11153;1;1
"(i)(1)";"LegalReferences";170;4;11153;1;1
"(i))";"LegalReferences";171;4;11153;1;1
"(if";"LogicalConnectors";172;5;24677;4;1
"(ii)";"LegalReferences";173;4;11153;68;1
"(iii)";"LegalReferences";174;4;11153;29;1
"(in";"FunctionWords";175;3;119649;25;1
"(including";"EconomicOperands";176;2;73007;180;1
"(incorporated";"EconomicOperands";177;2;73007;2;1
"(iv)";"LegalReferences";178;4;11153;20;1
"(ix)";"LegalReferences";179;4;11153;2;1
"(j)";"LegalReferences";180;4;11153;10;1
"(j)(1)";"LegalReferences";181;4;11153;1;1
"(k)";"LegalReferences";182;4;11153;9;1
"(l)";"LegalReferences";183;4;11153;4;1
"(l)(2)";"LegalReferences";184;4;11153;1;1
"(l)(5)";"LegalReferences";185;4;11153;1;1
"(m)";"LegalReferences";186;4;11153;7;1
"(n)";"LegalReferences";187;4;11153;8;1
"(n)(9)";"LegalReferences";188;4;11153;2;1
"(not";"FunctionWords";189;3;119649;1;1
"(o)";"LegalReferences";190;4;11153;7;1
"(of";"FunctionWords";191;3;119649;1;1
"(or";"LogicalConnectors";192;5;24677;163;1
"(other";"FunctionWords";193;3;119649;1;1
"(p)";"LegalReferences";194;4;11153;4;1
"(prior";"EconomicOperands";195;2;73007;4;1
"(q)";"LegalReferences";196;4;11153;5;1
"(r)";"LegalReferences";197;4;11153;3;1
"(r)(3)";"LegalReferences";198;4;11153;1;1
"(r)(4)";"LegalReferences";199;4;11153;1;1
"(r))";"LegalReferences";200;4;11153;1;1
"(regarding";"LogicalConnectors";201;5;24677;1;1
"(so";"LogicalConnectors";203;5;24677;1;1
"(solely";"LogicalConnectors";204;5;24677;2;1
"(t)";"LegalReferences";205;4;11153;1;1
"(than";"FunctionWords";206;3;119649;1;1
"(the";"FunctionWords";207;3;119649;7;1
"(through";"FunctionWords";208;3;119649;1;1
"(to";"FunctionWords";209;3;119649;2;1
"(u)";"LegalReferences";210;4;11153;3;1
"(unless";"LogicalConnectors";211;5;24677;2;1
"(until";"FunctionWords";212;3;119649;1;1
"(upon";"FunctionWords";213;3;119649;4;1
"(v)";"LegalReferences";214;4;11153;17;1
"(v))";"LegalReferences";215;4;11153;2;1
"(vii)";"LegalReferences";217;4;11153;8;1
"(w)(1)";"LegalReferences";218;4;11153;1;1
"(whether";"FunctionWords";219;3;119649;8;1
"(which";"FunctionWords";220;3;119649;13;1
"(who";"FunctionWords";221;3;119649;2;1
"(with";"FunctionWords";222;3;119649;2;1
"(within";"FunctionWords";223;3;119649;4;1
"(without";"FunctionWords";224;3;119649;2;1
"(x)";"LegalReferences";225;4;11153;1;1
"(xi)";"LegalReferences";226;4;11153;1;1
"(y)";"LegalReferences";227;4;11153;1;1
"(z)";"LegalReferences";228;4;11153;1;1
"1(b)";"LegalReferences";230;4;11153;3;1
"1(b)(5)";"LegalReferences";231;4;11153;1;1
"1(b)(7)";"LegalReferences";232;4;11153;2;1
"1)";"FunctionWords";233;3;119649;1;1
"10";"LegalReferences";234;4;11153;7;1
"10(a)";"LegalReferences";235;4;11153;1;1
"10(a)(1)";"LegalReferences";236;4;11153;1;1
"10(a)(2)";"LegalReferences";237;4;11153;1;1
"10(b)";"LegalReferences";238;4;11153;1;1
"10(b)(2)";"LegalReferences";239;4;11153;1;1
"10(b)(3)";"LegalReferences";240;4;11153;1;1
"10(c)";"LegalReferences";241;4;11153;1;1
"10(c)(2)";"LegalReferences";242;4;11153;1;1
"10(c)(9)(A)";"LegalReferences";243;4;11153;1;1
"10(c)(9)(C)";"LegalReferences";244;4;11153;1;1
"10(c)(9)(D)";"LegalReferences";245;4;11153;1;1
"10(e)";"LegalReferences";246;4;11153;1;1
"10(e)(2)";"LegalReferences";247;4;11153;1;1
"10(g)(1)";"LegalReferences";248;4;11153;1;1
"10(o)";"LegalReferences";249;4;11153;1;1
"1001";"LegalReferences";250;4;11153;1;1
"1002";"LegalReferences";251;4;11153;2;1
"1002)";"LegalReferences";252;4;11153;8;1
"1006";"LegalReferences";253;4;11153;1;1
"101";"LegalReferences";254;4;11153;8;1
"101(c)";"LegalReferences";255;4;11153;1;1
"101(e)";"LegalReferences";256;4;11153;2;1
"1011";"LegalReferences";257;4;11153;2;1
"1013";"LegalReferences";258;4;11153;1;1
"1013(a)(2)(B)";"LegalReferences";259;4;11153;1;1
"1013(b)(3)";"LegalReferences";260;4;11153;1;1
"1014";"LegalReferences";261;4;11153;1;1
"1018(f))";"LegalReferences";262;4;11153;1;1
"102";"LegalReferences";263;4;11153;7;1
"102(d)";"LegalReferences";264;4;11153;1;1
"102(e)";"LegalReferences";265;4;11153;1;1
"102)";"LegalReferences";266;4;11153;2;1
"1022";"LegalReferences";267;4;11153;2;1
"1022(c)";"LegalReferences";268;4;11153;1;1
"1023";"LegalReferences";269;4;11153;1;1
"1024";"LegalReferences";270;4;11153;9;1
"1024(c)(1)";"LegalReferences";271;4;11153;1;1
"1025";"LegalReferences";272;4;11153;6;1
"1025(a)";"LegalReferences";273;4;11153;4;1
"1025(a)(1))";"LegalReferences";274;4;11153;1;1
"1025(c)";"LegalReferences";275;4;11153;2;1
"1026";"LegalReferences";276;4;11153;3;1
"1026(a)";"LegalReferences";277;4;11153;3;1
"1027(a)(2)(A)";"LegalReferences";278;4;11153;2;1
"1029";"LegalReferences";279;4;11153;1;1
"1029(a)";"LegalReferences";280;4;11153;6;1
"103";"LegalReferences";281;4;11153;3;1
"103(a)";"LegalReferences";282;4;11153;2;1
"103(aa)";"LegalReferences";283;4;11153;4;1
"103(aa)(2)";"LegalReferences";284;4;11153;1;1
"103(aa)(4)";"LegalReferences";285;4;11153;3;1
"1031";"LegalReferences";286;4;11153;4;1
"1032";"LegalReferences";287;4;11153;1;1
"104";"LegalReferences";288;4;11153;1;1
"104(a)";"LegalReferences";289;4;11153;3;1
"104(b)";"LegalReferences";290;4;11153;1;1
"104(b)(1)(A)";"LegalReferences";291;4;11153;1;1
"104(d)";"LegalReferences";292;4;11153;1;1
"104(e)";"LegalReferences";293;4;11153;2;1
"1044";"LegalReferences";294;4;11153;1;1
"105";"LegalReferences";295;4;11153;3;1
"105(a)(20)";"LegalReferences";296;4;11153;2;1
"105(b)";"LegalReferences";297;4;11153;1;1
"105(b)(3)";"LegalReferences";298;4;11153;1;1
"105(b)(4)(B)";"LegalReferences";299;4;11153;1;1
"105(b)(5)";"LegalReferences";300;4;11153;1;1
"105(b)(5)(A)";"LegalReferences";301;4;11153;1;1
"105(c)(1)";"LegalReferences";302;4;11153;1;1
"105(c)(4)";"LegalReferences";303;4;11153;1;1
"105(c)(6)";"LegalReferences";304;4;11153;1;1
"105(c)(7)(B)";"LegalReferences";305;4;11153;1;1
"105(i)";"LegalReferences";306;4;11153;2;1
"106";"LegalReferences";307;4;11153;5;1
"106(a)";"LegalReferences";308;4;11153;1;1
"106(a)(4)";"LegalReferences";309;4;11153;2;1
"106(e)";"LegalReferences";310;4;11153;3;1
"106(g)";"LegalReferences";311;4;11153;1;1
"106(g)(1)";"LegalReferences";312;4;11153;1;1
"1061";"LegalReferences";313;4;11153;3;1
"1061(b)(1)";"LegalReferences";314;4;11153;1;1
"1061(b)(2)";"LegalReferences";315;4;11153;1;1
"1061(b)(3)";"LegalReferences";316;4;11153;1;1
"1061(b)(4)";"LegalReferences";317;4;11153;1;1
"1061(b)(5)";"LegalReferences";318;4;11153;2;1
"1061(b)(6)";"LegalReferences";319;4;11153;1;1
"1061(b)(7)";"LegalReferences";320;4;11153;1;1
"1062";"LegalReferences";321;4;11153;5;1
"1064";"LegalReferences";322;4;11153;1;1
"107";"LegalReferences";323;4;11153;3;1
"107(a)";"LegalReferences";324;4;11153;2;1
"107(b)";"LegalReferences";325;4;11153;1;1
"107(d)(3)";"LegalReferences";326;4;11153;1;1
"1076)";"LegalReferences";327;4;11153;1;1
"108";"LegalReferences";328;4;11153;1;1
"108(a)";"LegalReferences";329;4;11153;1;1
"108(c)";"LegalReferences";330;4;11153;1;1
"1081";"LegalReferences";331;4;11153;1;1
"1083";"LegalReferences";332;4;11153;1;1
"109";"LegalReferences";333;4;11153;1;1
"10A";"LegalReferences";334;4;11153;3;1
"11";"LegalReferences";335;4;11153;25;1
"11(a)(1)";"LegalReferences";336;4;11153;2;1
"11(a)(4)";"LegalReferences";337;4;11153;1;1
"11(c)(5)";"LegalReferences";338;4;11153;1;1
"11(e)";"LegalReferences";339;4;11153;1;1
"11(k)";"LegalReferences";340;4;11153;1;1
"11(l)";"LegalReferences";341;4;11153;1;1
"11(l)(2)";"LegalReferences";342;4;11153;1;1
"11(r)(2)";"LegalReferences";343;4;11153;1;1
"11(s)";"LegalReferences";344;4;11153;2;1
"110";"LegalReferences";345;4;11153;2;1
"110(b)(2)";"LegalReferences";346;4;11153;1;1
"1101";"LegalReferences";347;4;11153;2;1
"1103(a)";"LegalReferences";348;4;11153;2;1
"1104";"LegalReferences";349;4;11153;1;1
"1104(b)";"LegalReferences";350;4;11153;1;1
"1105";"LegalReferences";351;4;11153;6;1
"1105(a)";"LegalReferences";352;4;11153;1;1
"1105(c)";"LegalReferences";353;4;11153;3;1
"1106";"LegalReferences";354;4;11153;1;1
"1109";"LegalReferences";355;4;11153;1;1
"1109(a)";"LegalReferences";356;4;11153;2;1
"1109(b)";"LegalReferences";357;4;11153;1;1
"1110";"LegalReferences";358;4;11153;1;1
"1112(b)";"LegalReferences";359;4;11153;1;1
"1113";"LegalReferences";360;4;11153;2;1
"1116";"LegalReferences";361;4;11153;1;1
"1117";"LegalReferences";362;4;11153;2;1
"1118";"LegalReferences";363;4;11153;1;1
"1119(a)(2)";"LegalReferences";364;4;11153;1;1
"112(b)";"LegalReferences";365;4;11153;1;1
"1121";"LegalReferences";366;4;11153;1;1
"1122";"LegalReferences";367;4;11153;5;1
"1122(d)";"LegalReferences";368;4;11153;1;1
"1124";"LegalReferences";369;4;11153;1;1
"1125(c)";"LegalReferences";370;4;11153;1;1
"113";"LegalReferences";371;4;11153;17;1
"113(b)";"LegalReferences";372;4;11153;1;1
"113(b))";"LegalReferences";373;4;11153;1;1
"113(e)(3)";"LegalReferences";374;4;11153;1;1
"1132";"LegalReferences";375;4;11153;2;1
"115";"LegalReferences";376;4;11153;7;1
"115(c)";"LegalReferences";377;4;11153;2;1
"116(d)";"LegalReferences";378;4;11153;1;1
"119";"LegalReferences";379;4;11153;1;1
"11A";"LegalReferences";380;4;11153;1;1
"12";"LegalReferences";381;4;11153;8;1
"12(e)(2)(B)";"LegalReferences";382;4;11153;1;1
"12(f)";"LegalReferences";383;4;11153;1;1
"12)";"LegalReferences";384;4;11153;1;1
"120";"LegalReferences";385;4;11153;2;1
"1204(c)";"LegalReferences";386;4;11153;2;1
"1204(c)(3)";"LegalReferences";387;4;11153;1;1
"1205(b)";"LegalReferences";388;4;11153;1;1
"1206(a)";"LegalReferences";389;4;11153;1;1
"121(k)";"LegalReferences";390;4;11153;1;1
"1221";"LegalReferences";391;4;11153;1;1
"125";"LegalReferences";392;4;11153;1;1
"1254";"LegalReferences";393;4;11153;1;1
"1256";"LegalReferences";394;4;11153;1;1
"128";"LegalReferences";395;4;11153;2;1
"128(a)";"LegalReferences";396;4;11153;1;1
"128(f)";"LegalReferences";397;4;11153;1;1
"129";"LegalReferences";398;4;11153;14;1
"129(c)(2)";"LegalReferences";399;4;11153;1;1
"129(e)";"LegalReferences";400;4;11153;1;1
"129(m)";"LegalReferences";401;4;11153;1;1
"1291";"LegalReferences";402;4;11153;1;1
"12a(7))";"LegalReferences";403;4;11153;1;1
"13";"LegalReferences";404;4;11153;15;1
"13(b)";"LegalReferences";405;4;11153;1;1
"13(c)";"LegalReferences";406;4;11153;1;1
"13(e)";"LegalReferences";407;4;11153;1;1
"13(f)";"LegalReferences";408;4;11153;2;1
"13(f)(1)";"LegalReferences";409;4;11153;1;1
"13(n)";"LegalReferences";410;4;11153;2;1
"13(p)";"LegalReferences";411;4;11153;7;1
"13(p)(1)(A)";"LegalReferences";412;4;11153;1;1
"13)";"LegalReferences";413;4;11153;1;1
"130";"LegalReferences";414;4;11153;3;1
"130(a)";"LegalReferences";415;4;11153;1;1
"130(e)";"LegalReferences";416;4;11153;1;1
"1301";"LegalReferences";417;4;11153;2;1
"1303";"LegalReferences";418;4;11153;1;1
"1319";"LegalReferences";419;4;11153;1;1
"1348";"LegalReferences";420;4;11153;1;1
"1361";"LegalReferences";421;4;11153;1;1
"1367";"LegalReferences";422;4;11153;1;1
"14";"LegalReferences";423;4;11153;5;1
"14(a)";"LegalReferences";424;4;11153;1;1
"14(c)";"LegalReferences";425;4;11153;1;1
"14(g)";"LegalReferences";426;4;11153;1;1
"140";"LegalReferences";427;4;11153;3;1
"140(d)";"LegalReferences";428;4;11153;1;1
"1401)";"LegalReferences";429;4;11153;1;1
"1402(a))";"LegalReferences";430;4;11153;2;1
"1402(b))";"LegalReferences";431;4;11153;1;1
"1403)";"LegalReferences";432;4;11153;1;1
"1404)";"LegalReferences";433;4;11153;1;1
"141";"LegalReferences";434;4;11153;1;1
"141(f)";"LegalReferences";435;4;11153;1;1
